rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
769;75;ISR;W-45;04:19:43;02:11:03;02:08:40;00:31:40;00:30:07;00:31:19;00:31:32;00:29:27;00:29:54;00:30:13;00:32:07;00:13:29
770;0;AUT;W-H;04:19:43;02:03:59;02:15:45;00:29:08;00:28:43;00:30:17;00:29:26;00:30:18;00:31:36;00:32:17;00:34:00;00:14:01
771;92;GRE;W-30;04:19:47;02:07:44;02:12:04;00:28:54;00:29:08;00:30:51;00:29:42;00:33:40;00:31:37;00:30:55;00:32:00;00:13:05
772;83;GRE;W-40;04:19:48;02:07:44;02:12:04;00:28:54;00:29:09;00:30:51;00:29:41;00:33:40;00:31:37;00:30:55;00:32:00;00:13:05
773;98;AUT;W-H;04:19:50;02:06:46;02:13:04;00:27:58;00:30:39;00:32:19;00:29:24;00:29:56;00:30:22;00:32:34;00:32:28;00:14:13
774;95;SWE;W-H;04:19:55;02:07:51;02:12:04;00:29:01;00:30:30;00:31:26;00:30:20;00:29:21;00:31:22;00:31:41;00:32:33;00:13:45
775;63;NED;W-60;04:19:55;02:07:22;02:12:34;00:28:49;00:29:27;00:31:56;00:30:37;00:29:51;00:31:31;00:31:14;00:32:57;00:13:37
776;97;AUT;W-H;04:19:59;02:04:38;02:15:21;00:29:34;00:28:59;00:30:13;00:29:28;00:29:25;00:30:17;00:32:48;00:35:25;00:13:55
777;90;AUT;W-30;04:19:59;02:08:33;02:11:27;00:29:55;00:30:18;00:00:00;00:00:00;00:29:20;00:30:57;00:31:09;00:32:04;00:14:28
778;86;GER;W-35;04:20:00;02:08:22;02:11:39;00:30:04;00:29:43;00:31:43;00:30:15;00:30:33;00:30:47;00:31:49;00:31:34;00:13:35
779;82;FRA;W-40;04:20:05;02:01:18;02:18:48;00:28:20;00:27:57;00:29:29;00:29:15;00:29:27;00:31:31;00:34:23;00:35:09;00:14:39
780;72;FRA;W-50;04:20:07;02:10:19;02:09:48;00:30:26;00:29:59;00:32:16;00:31:05;00:30:22;00:30:41;00:31:41;00:30:30;00:13:10
781;82;SUI;W-40;04:20:08;02:03:18;02:16:50;00:28:14;00:28:17;00:30:03;00:30:11;00:30:30;00:30:59;00:33:21;00:33:45;00:14:52
782;80;HUN;W-40;04:20:14;01:59:09;02:21:06;00:26:33;00:27:32;00:29:58;00:28:45;00:29:36;00:31:37;00:34:33;00:36:39;00:15:05
783;93;AUT;W-30;04:20:14;02:06:32;02:13:43;00:29:04;00:29:11;00:31:04;00:30:36;00:30:28;00:31:15;00:32:30;00:32:38;00:13:31
784;85;VEN;W-35;04:20:16;02:08:23;02:11:53;00:29:20;00:30:52;00:31:06;00:30:30;00:30:06;00:32:06;00:31:12;00:31:39;00:13:30
785;98;NOR;W-H;04:20:16;02:05:27;02:14:49;00:29:25;00:29:12;00:30:46;00:29:37;00:29:30;00:31:12;00:32:24;00:33:27;00:14:47
786;99;NOR;W-H;04:20:17;02:05:28;02:14:49;00:29:26;00:29:13;00:30:45;00:29:37;00:29:30;00:31:12;00:32:23;00:33:27;00:14:48
787;56;LUX;W-65;04:20:20;02:05:07;02:15:13;00:28:39;00:29:40;00:31:13;00:29:15;00:29:08;00:29:50;00:34:48;00:33:57;00:13:55
788;82;AUT;W-40;04:20:23;02:07:19;02:13:04;00:29:03;00:28:55;00:33:04;00:29:48;00:30:48;00:32:56;00:31:51;00:32:08;00:11:54
789;78;CHN;W-45;04:20:24;02:03:45;02:16:40;00:27:02;00:28:28;00:31:15;00:30:24;00:30:22;00:31:53;00:32:21;00:33:20;00:15:22
790;83;AUT;W-40;04:20:27;02:07:39;02:12:48;00:30:47;00:29:41;00:30:59;00:29:48;00:29:45;00:30:55;00:31:54;00:32:40;00:14:00
791;79;GER;W-40;04:20:28;02:07:24;02:13:04;00:29:11;00:29:56;00:31:29;00:30:15;00:30:18;00:31:07;00:32:14;00:32:20;00:13:41
792;90;GER;W-30;04:20:32;02:09:24;02:11:09;00:30:46;00:30:34;00:31:08;00:30:11;00:30:48;00:31:44;00:31:28;00:31:05;00:12:52
793;79;CRO;W-40;04:20:34;02:07:49;02:12:45;00:30:04;00:29:59;00:31:44;00:29:31;00:29:24;00:29:28;00:31:03;00:34:09;00:15:16
794;74;GBR;W-45;04:20:35;02:01:50;02:18:46;00:27:10;00:27:35;00:30:16;00:30:16;00:30:52;00:31:49;00:32:51;00:34:51;00:15:00
795;92;AUT;W-30;04:20:37;02:08:56;02:11:41;00:29:57;00:30:19;00:31:51;00:30:13;00:30:43;00:31:28;00:31:51;00:30:55;00:13:24
796;82;ITA;W-40;04:20:39;02:04:02;02:16:37;00:28:43;00:28:32;00:30:24;00:29:50;00:29:55;00:31:05;00:32:50;00:34:40;00:14:43
797;83;FRA;W-40;04:20:48;02:05:18;02:15:30;00:28:44;00:28:54;00:31:07;00:30:13;00:30:46;00:31:16;00:33:03;00:33:17;00:13:32
798;72;USA;W-50;04:20:55;02:03:43;02:17:13;00:27:09;00:27:23;00:32:58;00:30:00;00:30:44;00:32:21;00:31:33;00:34:19;00:14:32
799;69;AUT;W-50;04:21:15;02:06:18;02:14:58;00:27:53;00:29:01;00:32:38;00:30:24;00:31:36;00:31:46;00:32:26;00:32:05;00:13:30
800;71;AUT;W-50;04:21:21;02:04:39;02:16:43;00:28:06;00:29:28;00:30:44;00:29:51;00:30:19;00:31:40;00:33:09;00:33:43;00:14:25
801;70;GER;W-50;04:21:22;02:05:29;02:15:53;00:29:21;00:28:46;00:31:15;00:29:52;00:29:51;00:31:53;00:33:37;00:32:11;00:14:39
802;68;ESP;W-55;04:21:25;02:03:01;02:18:25;00:28:19;00:28:40;00:30:17;00:29:26;00:29:52;00:30:47;00:33:24;00:35:20;00:15:24
803;68;AUT;W-55;04:21:29;02:10:35;02:10:54;00:30:48;00:31:13;00:31:44;00:30:13;00:30:26;00:30:47;00:31:02;00:31:51;00:13:28
804;77;MDA;W-45;04:21:32;02:10:18;02:11:14;00:31:11;00:31:08;00:31:43;00:29:52;00:29:46;00:30:22;00:31:24;00:32:22;00:13:48
805;80;MDA;W-40;04:21:33;02:10:19;02:11:14;00:31:12;00:31:08;00:31:42;00:29:53;00:29:45;00:30:23;00:31:24;00:32:22;00:13:48
806;2;USA;W-H;04:21:38;02:08:41;02:12:57;00:30:21;00:29:56;00:31:20;00:30:42;00:30:32;00:31:01;00:31:39;00:32:29;00:13:42
807;96;AUT;W-H;04:21:42;02:08:53;02:12:49;00:30:26;00:30:32;00:31:15;00:30:05;00:30:10;00:31:19;00:31:05;00:32:58;00:13:54
808;67;AUT;W-55;04:21:51;02:07:25;02:14:26;00:30:26;00:29:24;00:31:04;00:30:08;00:30:05;00:31:04;00:32:28;00:33:22;00:13:56
809;83;RSA;W-40;04:21:55;02:08:16;02:13:39;00:29:34;00:29:47;00:31:16;00:31:05;00:31:03;00:31:49;00:32:21;00:31:52;00:13:12
810;92;AUT;W-30;04:21:57;02:08:45;02:13:13;00:30:10;00:29:54;00:31:23;00:30:35;00:30:05;00:30:13;00:32:12;00:32:51;00:14:39
811;81;HUN;W-40;04:22:03;02:12:48;02:09:15;00:33:02;00:31:11;00:31:25;00:30:38;00:30:50;00:31:08;00:31:15;00:30:31;00:12:07
812;91;AUT;W-30;04:22:07;02:04:12;02:17:56;00:28:27;00:28:00;00:31:09;00:30:00;00:30:23;00:31:55;00:34:08;00:33:56;00:14:12
813;81;AUT;W-40;04:22:09;02:06:25;02:15:44;00:30:04;00:30:09;00:30:50;00:28:52;00:30:02;00:30:08;00:31:08;00:36:26;00:14:33
814;80;CZE;W-40;04:22:11;02:06:09;02:16:02;00:30:08;00:29:33;00:30:50;00:29:15;00:29:50;00:31:02;00:33:26;00:34:29;00:13:41
815;81;BRA;W-40;04:22:15;02:07:45;02:14:30;00:28:21;00:27:23;00:34:18;00:31:28;00:30:04;00:32:06;00:31:38;00:33:31;00:13:30
816;98;AUT;W-H;04:22:28;01:59:15;02:23:13;00:27:06;00:28:01;00:29:10;00:28:39;00:29:55;00:33:40;00:35:46;00:35:00;00:15:14
817;67;BUL;W-55;04:22:31;02:06:08;02:16:24;00:28:34;00:28:40;00:31:05;00:31:22;00:30:17;00:33:31;00:32:49;00:32:50;00:13:26
818;80;ISR;W-40;04:22:45;02:04:10;02:18:35;00:27:35;00:29:13;00:31:07;00:29:48;00:29:46;00:31:30;00:32:54;00:36:30;00:14:26
819;72;HUN;W-50;04:22:45;02:08:40;02:14:06;00:29:53;00:31:55;00:30:32;00:29:51;00:30:11;00:30:39;00:32:32;00:32:56;00:14:20
820;78;ISR;W-45;04:22:45;02:04:10;02:18:35;00:27:35;00:29:13;00:31:06;00:29:49;00:29:47;00:31:31;00:32:53;00:36:30;00:14:26
821;91;AUT;W-30;04:22:50;02:08:00;02:14:50;00:29:16;00:30:39;00:31:40;00:29:53;00:30:00;00:31:37;00:31:49;00:33:36;00:14:22
822;62;AUT;W-60;04:22:52;02:11:13;02:11:39;00:30:48;00:30:37;00:32:32;00:30:46;00:30:21;00:30:52;00:31:12;00:31:41;00:14:08
823;79;CZE;W-40;04:22:58;02:00:22;02:22:36;00:28:18;00:27:55;00:29:42;00:28:10;00:29:53;00:33:31;00:34:18;00:36:20;00:14:54
824;88;AUT;W-35;04:23:02;02:07:32;02:15:30;00:28:23;00:30:46;00:31:37;00:30:04;00:30:38;00:30:58;00:31:27;00:33:18;00:15:55
825;73;ISR;W-50;04:23:15;02:04:07;02:19:08;00:28:25;00:28:44;00:30:20;00:30:04;00:30:16;00:31:49;00:33:47;00:34:45;00:15:08
826;71;AUT;W-50;04:23:20;02:06:44;02:16:37;00:29:33;00:29:57;00:30:40;00:29:51;00:31:25;00:32:16;00:33:36;00:32:54;00:13:12
827;94;GBR;W-H;04:23:23;02:08:34;02:14:50;00:29:07;00:30:08;00:31:43;00:30:50;00:30:41;00:31:08;00:33:23;00:32:29;00:13:59
828;72;SUI;W-50;04:23:26;02:08:26;02:15:00;00:29:53;00:30:26;00:31:32;00:30:08;00:29:31;00:30:02;00:31:05;00:35:18;00:15:35
829;68;HUN;W-55;04:23:33;02:02:06;02:21:27;00:27:16;00:28:03;00:30:09;00:30:07;00:31:09;00:32:33;00:35:07;00:35:12;00:14:01
830;84;GER;W-35;04:23:34;02:07:20;02:16:15;00:29:48;00:29:50;00:31:00;00:30:01;00:30:52;00:31:48;00:32:23;00:33:58;00:13:57
831;74;AUT;W-45;04:23:35;02:07:23;02:16:12;00:29:03;00:29:20;00:30:37;00:31:55;00:30:01;00:32:13;00:33:09;00:33:02;00:14:19
832;87;GBR;W-35;04:23:39;01:54:29;02:29:11;00:27:30;00:26:21;00:27:15;00:27:18;00:29:08;00:32:20;00:36:22;00:40:10;00:17:19
833;82;AUT;W-40;04:23:42;02:06:32;02:17:11;00:28:44;00:30:11;00:31:20;00:29:57;00:30:30;00:31:11;00:32:06;00:34:44;00:15:04
834;74;MEX;W-45;04:23:49;02:08:51;02:14:59;00:29:59;00:29:43;00:32:04;00:30:35;00:30:16;00:29:47;00:31:19;00:34:22;00:15:50
835;92;GBR;W-30;04:23:50;02:06:16;02:17:35;00:29:23;00:29:29;00:31:39;00:29:06;00:30:07;00:31:23;00:32:47;00:35:28;00:14:31
836;90;SUI;W-30;04:23:50;02:08:50;02:15:01;00:29:42;00:30:04;00:32:15;00:30:18;00:30:36;00:31:14;00:32:07;00:33:05;00:14:32
837;60;ISR;W-60;04:23:51;02:14:53;02:08:59;00:30:59;00:31:51;00:33:56;00:31:29;00:31:11;00:30:29;00:30:15;00:30:29;00:13:17
838;86;GBR;W-35;04:23:56;01:57:52;02:26:04;00:26:09;00:26:22;00:29:19;00:29:31;00:31:02;00:32:33;00:35:49;00:36:47;00:16:28
839;87;HUN;W-35;04:24:00;02:06:09;02:17:52;00:27:26;00:28:33;00:32:02;00:31:37;00:30:54;00:33:15;00:33:39;00:33:04;00:13:34
840;79;HUN;W-40;04:24:01;02:13:15;02:10:47;00:31:32;00:31:03;00:32:32;00:31:29;00:30:39;00:30:44;00:31:14;00:31:22;00:13:30
841;76;AUT;W-45;04:24:02;02:01:34;02:22:29;00:27:54;00:28:13;00:29:52;00:28:54;00:31:10;00:33:12;00:35:04;00:34:51;00:14:56
842;94;GER;W-H;04:24:16;02:15:59;02:08:17;00:32:04;00:32:19;00:32:47;00:31:49;00:31:30;00:31:37;00:30:28;00:29:21;00:12:23
843;67;USA;W-55;04:24:16;02:05:14;02:19:03;00:29:06;00:29:24;00:30:46;00:29:30;00:29:58;00:31:50;00:33:15;00:35:36;00:14:55
844;94;AUT;W-H;04:24:19;02:02:50;02:21:29;00:28:59;00:27:48;00:29:00;00:30:35;00:32:03;00:34:50;00:37:10;00:31:08;00:12:50
845;85;AUS;W-35;04:24:23;02:11:35;02:12:49;00:29:37;00:31:17;00:32:47;00:31:13;00:31:00;00:31:39;00:31:24;00:31:43;00:13:48
846;76;ISR;W-45;04:24:27;02:10:19;02:14:09;00:31:00;00:30:41;00:31:27;00:30:34;00:30:37;00:31:48;00:32:21;00:32:08;00:13:55
847;82;AUT;W-40;04:24:31;01:54:43;02:29:48;00:28:19;00:26:45;00:27:27;00:26:22;00:26:37;00:27:10;01:01:30;00:28:47;00:11:38
848;92;PER;W-30;04:24:31;02:08:53;02:15:39;00:29:32;00:30:27;00:30:33;00:31:36;00:30:54;00:31:31;00:33:27;00:33:40;00:12:55
849;93;GBR;W-30;04:24:33;02:00:38;02:23:56;00:28:55;00:28:15;00:29:24;00:28:00;00:28:15;00:34:34;00:37:10;00:35:39;00:14:26
850;74;VEN;W-45;04:24:37;02:06:29;02:18:08;00:29:52;00:29:39;00:30:46;00:29:49;00:29:32;00:30:00;00:34:15;00:00:00;00:00:00
851;76;AUT;W-45;04:24:42;02:10:10;02:14:32;00:30:12;00:30:40;00:32:08;00:30:33;00:30:33;00:31:09;00:32:23;00:33:02;00:14:06
852;63;GER;W-60;04:24:43;02:09:12;02:15:31;00:30:25;00:30:11;00:31:47;00:30:20;00:30:34;00:32:00;00:31:57;00:32:50;00:14:44
853;77;SUI;W-45;04:24:51;02:07:36;02:17:15;00:29:36;00:28:34;00:31:54;00:31:11;00:31:11;00:32:12;00:31:52;00:34:03;00:14:22
854;95;SUI;W-H;04:24:59;01:57:30;02:27:30;00:27:12;00:27:18;00:28:24;00:28:25;00:28:39;00:30:47;00:37:58;00:39:27;00:16:53
855;83;GER;W-40;04:25:02;02:08:37;02:16:26;00:30:36;00:30:22;00:31:13;00:29:41;00:30:10;00:31:11;00:32:35;00:34:10;00:15:09
856;72;GER;W-50;04:25:06;02:01:28;02:23:39;00:28:01;00:28:28;00:29:43;00:28:41;00:30:11;00:31:10;00:38:36;00:36:20;00:14:00
857;78;ISR;W-45;04:25:10;02:14:53;02:10:17;00:30:59;00:31:51;00:33:57;00:31:29;00:31:11;00:30:29;00:30:15;00:32:00;00:13:04
858;94;GER;W-H;04:25:15;02:06:52;02:18:23;00:30:10;00:29:44;00:30:27;00:30:02;00:29:46;00:33:05;00:34:25;00:33:56;00:13:46
859;87;SRB;W-35;04:25:19;02:04:44;02:20:35;00:27:20;00:29:29;00:30:57;00:30:14;00:30:51;00:32:35;00:34:36;00:35:44;00:13:38
860;79;GBR;W-40;04:25:20;02:05:46;02:19:35;00:30:37;00:28:58;00:30:16;00:29:40;00:30:15;00:32:16;00:34:12;00:34:48;00:14:22
861;65;ITA;W-55;04:25:22;02:03:05;02:22:17;00:26:46;00:28:03;00:31:15;00:30:34;00:30:29;00:31:31;00:37:01;00:35:03;00:14:43
862;89;BRA;W-30;04:25:22;02:04:25;02:20:58;00:29:08;00:28:32;00:30:28;00:29:43;00:30:25;00:31:12;00:36:22;00:35:46;00:13:49
863;60;ISR;W-60;04:25:28;02:06:29;02:18:59;00:29:55;00:30:00;00:30:54;00:29:14;00:29:28;00:31:11;00:32:49;00:35:35;00:16:25
864;96;AUT;W-H;04:25:28;02:08:36;02:16:52;00:29:31;00:29:52;00:31:31;00:30:54;00:31:19;00:32:42;00:31:28;00:34:32;00:13:42
865;75;ISR;W-45;04:25:34;02:06:21;02:19:14;00:29:49;00:29:09;00:30:41;00:30:09;00:30:23;00:31:27;00:32:51;00:35:08;00:16:01
866;70;CAN;W-50;04:25:41;02:10:37;02:15:05;00:29:54;00:30:40;00:32:23;00:31:00;00:30:55;00:32:14;00:32:33;00:32:39;00:13:28
867;56;FRA;W-65;04:25:44;02:09:07;02:16:37;00:29:54;00:30:16;00:31:35;00:30:47;00:31:03;00:31:44;00:32:40;00:33:42;00:14:07
868;81;GER;W-40;04:25:45;02:04:41;02:21:05;00:27:54;00:28:56;00:30:50;00:30:23;00:30:42;00:32:23;00:34:15;00:34:56;00:15:32
869;80;GER;W-40;04:25:51;02:10:12;02:15:39;00:30:07;00:30:42;00:31:49;00:30:50;00:30:57;00:32:28;00:32:29;00:32:38;00:13:54
870;85;AUT;W-35;04:25:56;02:04:22;02:21:34;00:28:31;00:29:06;00:30:10;00:29:50;00:31:11;00:33:18;00:34:22;00:34:42;00:14:49
871;75;GER;W-45;04:26:04;02:07:02;02:19:03;00:29:38;00:29:00;00:30:46;00:31:02;00:31:14;00:32:05;00:33:26;00:34:43;00:14:14
872;82;POR;W-40;04:26:07;02:07:01;02:19:06;00:29:20;00:29:10;00:31:24;00:30:30;00:30:36;00:31:31;00:34:17;00:34:40;00:14:44
873;63;FRA;W-60;04:26:10;02:09:26;02:16:44;00:28:45;00:30:32;00:32:09;00:31:05;00:31:33;00:32:34;00:32:40;00:33:00;00:13:58
874;63;AUT;W-60;04:26:11;02:06:16;02:19:55;00:28:41;00:29:11;00:31:13;00:30:23;00:31:15;00:31:46;00:34:52;00:34:10;00:14:44
875;97;AUT;W-H;04:26:11;02:15:48;02:10:24;00:32:52;00:32:04;00:32:22;00:31:39;00:29:30;00:29:28;00:31:06;00:32:52;00:14:23
876;89;GER;W-30;04:26:12;02:04:29;02:21:43;00:28:35;00:28:48;00:30:20;00:30:22;00:30:41;00:31:27;00:35:36;00:35:46;00:14:43
877;69;GER;W-50;04:26:15;02:14:43;02:11:33;00:30:37;00:31:25;00:33:02;00:32:49;00:30:57;00:31:10;00:31:22;00:31:11;00:13:46
878;97;AUT;W-H;04:26:23;02:08:25;02:17:58;00:29:51;00:28:52;00:32:10;00:30:50;00:31:45;00:32:46;00:34:05;00:32:41;00:13:27
879;76;SUI;W-45;04:26:25;02:14:21;02:12:04;00:30:15;00:31:53;00:33:09;00:32:09;00:31:45;00:31:39;00:31:37;00:31:23;00:12:38
880;71;GER;W-50;04:26:25;02:02:48;02:23:37;00:27:45;00:27:54;00:30:19;00:30:02;00:30:48;00:34:42;00:36:31;00:33:47;00:14:43
881;62;MLT;W-60;04:26:26;02:02:53;02:23:33;00:28:02;00:28:51;00:30:09;00:29:32;00:29:56;00:31:06;00:33:39;00:38:39;00:16:37
882;74;POL;W-45;04:26:28;02:02:47;02:23:41;00:28:14;00:27:47;00:31:22;00:29:05;00:29:52;00:32:50;00:35:01;00:36:59;00:15:23
883;82;POL;W-40;04:26:29;02:07:12;02:19:18;00:29:00;00:29:15;00:32:18;00:30:01;00:31:55;00:34:01;00:33:25;00:32:58;00:13:42
884;96;AUT;W-H;04:26:33;02:11:50;02:14:44;00:31:00;00:31:02;00:31:58;00:31:11;00:30:45;00:31:25;00:31:51;00:32:39;00:14:47
885;95;GBR;W-H;04:26:39;02:07:00;02:19:39;00:28:49;00:28:29;00:31:37;00:31:21;00:31:15;00:32:38;00:33:06;00:34:48;00:14:39
886;67;GER;W-55;04:26:39;02:15:15;02:11:24;00:32:00;00:31:45;00:33:22;00:31:34;00:30:52;00:31:31;00:31:37;00:31:57;00:12:06
887;90;AUT;W-30;04:26:50;02:11:11;02:15:39;00:31:46;00:30:16;00:31:32;00:30:54;00:30:39;00:32:05;00:33:27;00:32:27;00:13:47
888;72;GBR;W-50;04:26:53;02:03:07;02:23:47;00:27:28;00:27:41;00:30:06;00:30:55;00:35:10;00:31:29;00:35:01;00:35:25;00:13:41
889;88;AUT;W-35;04:26:59;02:10:13;02:16:47;00:28:50;00:31:10;00:32:15;00:31:17;00:31:22;00:31:57;00:32:23;00:33:49;00:14:00
890;88;AUT;W-35;04:27:07;02:10:50;02:16:17;00:30:33;00:30:44;00:31:27;00:31:22;00:30:52;00:32:17;00:33:29;00:32:24;00:14:04
891;73;SRB;W-50;04:27:13;02:07:52;02:19:22;00:29:08;00:29:24;00:31:37;00:31:13;00:31:07;00:31:57;00:35:25;00:33:27;00:14:01
892;73;ITA;W-50;04:27:15;02:12:05;02:15:11;00:30:08;00:30:36;00:32:44;00:31:53;00:31:07;00:31:54;00:32:34;00:32:21;00:14:01
893;80;GER;W-40;04:27:23;02:07:50;02:19:34;00:29:26;00:29:54;00:31:37;00:30:20;00:30:29;00:31:26;00:36:38;00:33:47;00:13:51
894;72;AUT;W-50;04:27:24;02:10:52;02:16:33;00:29:14;00:31:10;00:32:26;00:31:25;00:30:30;00:31:39;00:32:43;00:33:46;00:14:33
895;84;GER;W-35;04:27:24;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
896;69;AUT;W-50;04:27:26;02:03:39;02:23:47;00:28:13;00:28:46;00:30:33;00:29:35;00:31:07;00:32:53;00:35:18;00:36:29;00:14:36
897;94;NED;W-H;04:27:32;02:11:11;02:16:22;00:29:46;00:31:24;00:32:45;00:30:41;00:30:37;00:31:44;00:32:50;00:33:43;00:14:06
898;97;NED;W-H;04:27:42;02:11:48;02:15:54;00:30:24;00:30:08;00:33:42;00:30:53;00:32:16;00:30:44;00:33:12;00:32:30;00:13:57
899;71;MKD;W-50;04:27:45;02:06:25;02:21:21;00:29:12;00:29:02;00:31:12;00:30:29;00:30:25;00:32:26;00:34:01;00:36:49;00:14:11
900;82;GBR;W-40;04:27:54;02:08:39;02:19:16;00:28:52;00:30:39;00:31:46;00:30:35;00:31:19;00:32:37;00:33:16;00:34:13;00:14:41
901;85;AUT;W-35;04:27:55;02:12:46;02:15:10;00:31:02;00:31:15;00:32:29;00:31:14;00:31:31;00:31:54;00:32:16;00:32:15;00:14:02
902;81;GER;W-40;04:27:59;02:05:19;02:22:41;00:27:51;00:28:20;00:32:18;00:30:17;00:30:46;00:32:22;00:34:41;00:36:38;00:14:50
903;79;AUT;W-40;04:28:01;02:10:45;02:17:17;00:30:51;00:29:55;00:32:27;00:30:59;00:31:03;00:32:54;00:33:09;00:32:30;00:14:17
904;84;AUT;W-35;04:28:07;02:06:58;02:21:10;00:27:27;00:29:31;00:31:49;00:31:36;00:31:13;00:33:27;00:34:02;00:34:31;00:14:33
905;98;AUT;W-H;04:28:08;02:11:27;02:16:41;00:30:38;00:31:03;00:32:26;00:30:26;00:32:04;00:32:43;00:32:52;00:32:31;00:13:28
906;76;ISR;W-45;04:28:08;02:06:27;02:21:42;00:29:54;00:29:44;00:30:30;00:29:42;00:30:19;00:31:37;00:35:02;00:36:37;00:14:48
907;74;FRA;W-45;04:28:09;02:09:18;02:18:52;00:30:41;00:29:23;00:31:12;00:31:14;00:31:54;00:32:36;00:33:31;00:33:37;00:14:05
908;90;CRC;W-30;04:28:22;02:12:42;02:15:41;00:32:43;00:31:03;00:31:32;00:30:46;00:30:29;00:31:54;00:32:07;00:33:39;00:14:13
909;76;SRB;W-45;04:28:23;02:07:55;02:20:28;00:30:26;00:29:49;00:30:57;00:30:02;00:30:26;00:31:37;00:33:51;00:36:49;00:14:30
910;94;AUT;W-H;04:28:24;02:10:30;02:17:54;00:30:41;00:30:32;00:31:27;00:31:07;00:31:10;00:32:08;00:33:45;00:33:18;00:14:19
911;74;ISR;W-45;04:28:27;02:11:15;02:17:12;00:30:23;00:30:58;00:32:22;00:30:57;00:30:42;00:32:52;00:32:38;00:33:27;00:14:12
912;79;ISR;W-40;04:28:27;02:10:19;02:18:09;00:31:01;00:30:41;00:31:28;00:30:34;00:30:40;00:31:49;00:33:34;00:34:06;00:14:39
913;80;AUT;W-40;04:28:27;01:58:53;02:29:35;00:27:42;00:26:58;00:29:37;00:28:31;00:30:29;00:31:06;00:39:04;00:40:14;00:14:48
914;82;HUN;W-40;04:28:30;02:06:42;02:21:49;00:29:50;00:29:42;00:31:26;00:29:21;00:30:28;00:30:50;00:34:48;00:37:44;00:14:24
915;80;IRL;W-40;04:28:31;02:08:02;02:20:29;00:29:08;00:29:23;00:33:34;00:29:40;00:30:12;00:30:51;00:33:06;00:37:55;00:14:47
916;63;SUI;W-60;04:28:31;02:07:07;02:21:25;00:28:55;00:29:37;00:31:14;00:30:45;00:31:15;00:34:11;00:33:07;00:34:37;00:14:54
917;85;POL;W-35;04:28:33;02:07:01;02:21:33;00:28:43;00:28:24;00:31:19;00:31:42;00:31:59;00:33:08;00:34:42;00:35:04;00:13:35
918;71;AUT;W-50;04:28:35;02:05:08;02:23:28;00:26:29;00:27:41;00:32:31;00:31:48;00:33:17;00:32:22;00:34:33;00:34:45;00:15:13
919;74;AUT;W-45;04:28:38;02:07:41;02:20:58;00:29:32;00:29:29;00:30:58;00:30:35;00:31:07;00:34:28;00:33:17;00:34:26;00:14:51
920;92;AUT;W-30;04:28:43;02:13:55;02:14:48;00:30:47;00:31:25;00:33:07;00:31:45;00:31:20;00:32:20;00:31:52;00:32:19;00:13:52
921;69;POL;W-50;04:28:46;02:08:57;02:19:50;00:30:01;00:30:04;00:31:22;00:30:47;00:31:10;00:32:51;00:33:15;00:34:18;00:15:03
922;84;ISR;W-35;04:28:47;02:12:38;02:16:10;00:32:12;00:31:00;00:31:52;00:30:48;00:30:52;00:32:42;00:33:55;00:32:13;00:13:18
923;87;AUT;W-35;04:28:50;02:05:12;02:23:38;00:26:51;00:28:52;00:32:01;00:30:51;00:30:57;00:32:02;00:35:25;00:36:47;00:15:09
924;67;HUN;W-55;04:28:51;02:07:30;02:21:22;00:27:11;00:29:15;00:32:38;00:31:39;00:31:34;00:33:39;00:34:42;00:34:31;00:13:47
925;87;POL;W-35;04:29:05;02:06:02;02:23:04;00:28:55;00:29:00;00:31:26;00:30:07;00:31:00;00:32:42;00:34:20;00:36:12;00:15:27
926;74;FRA;W-45;04:29:05;02:09:39;02:19:26;00:29:22;00:28:29;00:31:43;00:31:51;00:32:24;00:32:40;00:34:22;00:33:55;00:14:23
927;69;AUT;W-50;04:29:23;02:03:44;02:25:40;00:28:09;00:28:11;00:29:46;00:30:36;00:32:05;00:33:45;00:36:02;00:35:16;00:15:36
928;80;SRB;W-40;04:29:25;02:17:54;02:11:32;00:32:41;00:32:21;00:33:49;00:32:13;00:31:21;00:31:35;00:31:20;00:31:15;00:12:52
929;98;GER;W-H;04:29:25;02:05:50;02:23:36;00:28:22;00:29:56;00:30:47;00:30:11;00:30:15;00:36:09;00:34:38;00:36:01;00:13:10
930;68;GBR;W-55;04:29:28;02:08:40;02:20:49;00:29:33;00:28:53;00:31:45;00:31:44;00:34:53;00:31:36;00:33:07;00:33:29;00:14:32
931;75;POL;W-45;04:29:29;02:10:30;02:19:00;00:30:43;00:29:59;00:31:39;00:31:28;00:30:37;00:33:31;00:33:06;00:33:48;00:14:42
932;75;AUT;W-45;04:29:33;02:13:12;02:16:22;00:31:24;00:31:02;00:32:47;00:31:16;00:31:01;00:31:27;00:32:38;00:33:24;00:14:38
933;92;AUT;W-30;04:29:33;02:13:54;02:15:40;00:32:40;00:31:39;00:32:25;00:30:39;00:30:04;00:33:25;00:32:47;00:32:29;00:13:29
934;92;GBR;W-30;04:29:34;02:08:37;02:20:57;00:29:18;00:29:47;00:31:08;00:31:36;00:31:49;00:33:03;00:32:35;00:34:36;00:15:45
