rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
59;75;HUN;W-45;03:12:57;01:35:07;01:37:51;00:22:21;00:22:20;00:23:02;00:22:28;00:22:41;00:22:54;00:23:21;00:23:36;00:10:17
60;92;AUT;W-30;03:13:15;01:38:17;01:34:59;00:22:59;00:23:42;00:23:47;00:22:47;00:22:33;00:22:41;00:22:53;00:22:38;00:09:18
61;70;GRE;W-50;03:13:25;01:36:50;01:36:35;00:22:29;00:23:01;00:23:41;00:22:41;00:22:32;00:22:41;00:22:54;00:23:14;00:10:15
62;90;RUS;W-30;03:13:26;01:32:16;01:41:11;00:21:48;00:21:50;00:22:17;00:21:33;00:21:46;00:21:44;00:23:59;00:26:38;00:11:55
63;79;GER;W-40;03:13:37;01:36:31;01:37:07;00:23:51;00:22:42;00:23:01;00:22:01;00:22:24;00:22:42;00:23:10;00:23:25;00:10:24
64;88;POL;W-35;03:13:51;01:37:21;01:36:31;00:23:22;00:23:08;00:23:25;00:22:27;00:22:44;00:22:41;00:23:04;00:23:02;00:10:01
65;69;GER;W-50;03:13:55;01:34:27;01:39:29;00:22:00;00:22:16;00:22:49;00:22:24;00:22:53;00:23:11;00:23:32;00:24:15;00:10:40
66;0;HUN;W-H;03:14:04;01:31:30;01:42:34;00:21:08;00:21:15;00:22:19;00:21:58;00:22:50;00:23:35;00:24:33;00:25:47;00:10:44
68;94;SWE;W-H;03:14:56;01:35:30;01:39:27;00:22:00;00:22:04;00:23:27;00:22:52;00:23:17;00:23:46;00:23:42;00:23:46;00:10:07
69;75;AUT;W-45;03:15:14;01:37:33;01:37:42;00:22:44;00:23:11;00:23:38;00:22:56;00:22:55;00:23:04;00:23:19;00:23:31;00:10:01
70;80;ITA;W-40;03:15:35;01:37:14;01:38:21;00:22:42;00:22:53;00:23:49;00:22:57;00:22:55;00:23:26;00:23:26;00:23:33;00:09:58
71;88;GBR;W-35;03:15:47;01:33:31;01:42:16;00:21:56;00:22:03;00:22:34;00:22:03;00:22:51;00:24:02;00:24:24;00:25:36;00:10:23
72;85;HUN;W-35;03:15:54;01:36:10;01:39:44;00:22:38;00:22:43;00:23:27;00:22:33;00:22:35;00:23:29;00:23:28;00:24:46;00:10:19
73;79;MLT;W-40;03:16:06;01:36:07;01:40:00;00:22:35;00:22:28;00:23:18;00:22:48;00:22:56;00:23:18;00:23:50;00:24:14;00:10:44
74;83;BRA;W-40;03:16:21;01:35:18;01:41:03;00:22:24;00:22:18;00:23:09;00:22:32;00:22:56;00:23:13;00:23:42;00:24:56;00:11:14
75;84;NOR;W-35;03:16:28;01:36:17;01:40:11;00:22:31;00:22:53;00:23:24;00:22:32;00:22:49;00:23:15;00:23:45;00:24:34;00:10:48
76;74;ISR;W-45;03:16:57;01:38:56;01:38:01;00:23:38;00:23:18;00:23:51;00:23:03;00:23:24;00:23:29;00:23:52;00:22:45;00:09:40
77;95;HUN;W-H;03:17:04;01:35:27;01:41:37;00:22:29;00:22:09;00:23:33;00:22:28;00:22:28;00:23:13;00:24:34;00:25:40;00:10:33
78;74;HUN;W-45;03:17:13;01:36:11;01:41:03;00:22:27;00:22:23;00:23:35;00:22:45;00:22:53;00:23:25;00:24:10;00:24:32;00:11:06
79;90;CZE;W-30;03:17:17;01:38:36;01:38:41;00:23:23;00:23:27;00:23:57;00:22:53;00:22:32;00:23:21;00:23:22;00:23:57;00:10:30
80;86;USA;W-35;03:17:53;01:36:06;01:41:48;00:22:24;00:22:24;00:23:20;00:22:51;00:23:15;00:23:49;00:24:20;00:24:53;00:10:39
81;69;AUT;W-50;03:18:11;01:36:11;01:42:01;00:22:13;00:22:41;00:23:25;00:22:51;00:22:48;00:23:19;00:23:47;00:25:19;00:11:52
82;93;SUI;W-30;03:18:44;01:37:25;01:41:19;00:23:21;00:23:03;00:23:27;00:22:35;00:22:38;00:23:23;00:24:26;00:25:11;00:10:44
83;87;GRE;W-35;03:18:44;01:38:46;01:39:59;00:23:21;00:23:06;00:23:45;00:23:24;00:23:42;00:23:42;00:23:43;00:23:54;00:10:13
84;92;POL;W-30;03:18:44;01:35:38;01:43:06;00:22:13;00:22:25;00:23:14;00:22:45;00:22:58;00:24:27;00:24:52;00:24:54;00:10:59
